epoch,accuracy,loss,val_accuracy,val_loss
0,0.383614718914032,1.3241918087005615,0.46685880422592163,1.252678394317627
1,0.6498754620552063,0.9704288244247437,0.6974063515663147,0.8715347051620483
2,0.7924162745475769,0.5784397721290588,0.7089337110519409,0.7574347853660583
3,0.8488790392875671,0.4113744795322418,0.7175792455673218,0.7624099850654602
4,0.8840298652648926,0.324021577835083,0.7089337110519409,0.7759472131729126
5,0.9092167019844055,0.2631057798862457,0.6772334575653076,0.8820489645004272
6,0.9285911917686462,0.21694070100784302,0.6887608170509338,0.9135668277740479
7,0.9418765306472778,0.1872561126947403,0.6829971075057983,0.9815452098846436
8,0.9487960338592529,0.15863145887851715,0.6714697480201721,1.030860185623169
9,0.9582064747810364,0.14053642749786377,0.6829971075057983,1.0996458530426025
10,0.9612510204315186,0.13032487034797668,0.6858789920806885,1.1513258218765259
11,0.9662330746650696,0.11295033991336823,0.6772334575653076,1.2638424634933472
12,0.9656794667243958,0.10692720115184784,0.6858789920806885,1.2109696865081787
13,0.9698311686515808,0.09952561557292938,0.6772334575653076,1.3010413646697998
14,0.9703847169876099,0.09429826587438583,0.6714697480201721,1.358213186264038
15,0.9698311686515808,0.09394951909780502,0.6570605039596558,1.3815982341766357
16,0.9723221659660339,0.08519458770751953,0.6657060384750366,1.4451497793197632
17,0.973706066608429,0.0825059711933136,0.6714697480201721,1.4745564460754395
18,0.972875714302063,0.08192749321460724,0.6685879230499268,1.4542694091796875
19,0.975089967250824,0.07776150852441788,0.6714697480201721,1.5064464807510376
20,0.9767506122589111,0.07200270891189575,0.6599423885345459,1.6113624572753906
21,0.9781345129013062,0.06778864562511444,0.6599423885345459,1.6030247211456299
22,0.9778577089309692,0.0671103447675705,0.6628242135047913,1.6516785621643066
23,0.9761970639228821,0.07006562501192093,0.651296854019165,1.6526888608932495
24,0.9773041605949402,0.06201823055744171,0.6426513195037842,1.6870628595352173
